ds,model,uq,thr,seed,interp,extrap
FRP,HistGB,split,0.7,0,0.9333333333333333,0.49382716049382713
FRP,HistGB,knn-norm,0.7,0,1.0,0.5061728395061729
FRP,RF,split,0.7,0,0.9333333333333333,0.5308641975308642
FRP,RF,knn-norm,0.7,0,0.9777777777777777,0.4691358024691358
FRP,Linear,split,0.7,0,0.9111111111111111,0.5432098765432098
FRP,Linear,knn-norm,0.7,0,0.9555555555555556,0.5802469135802469
FRP,GP,native90,0.7,0,0.7777777777777778,
FRP,GP,native90,0.7,0,,0.5925925925925926
FRP,QuantGBM,native90,0.7,0,0.6666666666666666,
FRP,QuantGBM,native90,0.7,0,,0.37037037037037035
FRP,HistGB,split,0.7,1,0.8888888888888888,0.48148148148148145
FRP,HistGB,knn-norm,0.7,1,0.9111111111111111,0.5308641975308642
FRP,RF,split,0.7,1,0.9111111111111111,0.5308641975308642
FRP,RF,knn-norm,0.7,1,1.0,0.49382716049382713
FRP,Linear,split,0.7,1,0.8888888888888888,0.6049382716049383
FRP,Linear,knn-norm,0.7,1,0.8666666666666667,0.6049382716049383
FRP,GP,native90,0.7,1,0.6444444444444445,
FRP,GP,native90,0.7,1,,0.5679012345679012
FRP,QuantGBM,native90,0.7,1,0.6666666666666666,
FRP,QuantGBM,native90,0.7,1,,0.06172839506172839
FRP,HistGB,split,0.75,0,0.8979591836734694,0.5076923076923077
FRP,HistGB,knn-norm,0.75,0,0.9183673469387755,0.5538461538461539
FRP,RF,split,0.75,0,0.8571428571428571,0.4307692307692308
FRP,RF,knn-norm,0.75,0,0.8979591836734694,0.5230769230769231
FRP,Linear,split,0.75,0,0.8571428571428571,0.38461538461538464
FRP,Linear,knn-norm,0.75,0,0.8571428571428571,0.49230769230769234
FRP,GP,native90,0.75,0,0.9183673469387755,
FRP,GP,native90,0.75,0,,0.5846153846153846
FRP,QuantGBM,native90,0.75,0,0.6938775510204082,
FRP,QuantGBM,native90,0.75,0,,0.3076923076923077
FRP,HistGB,split,0.75,1,0.8367346938775511,0.35384615384615387
FRP,HistGB,knn-norm,0.75,1,0.8979591836734694,0.47692307692307695
FRP,RF,split,0.75,1,0.8571428571428571,0.4461538461538462
FRP,RF,knn-norm,0.75,1,0.9387755102040817,0.5230769230769231
FRP,Linear,split,0.75,1,0.8571428571428571,0.3384615384615385
FRP,Linear,knn-norm,0.75,1,0.8367346938775511,0.4461538461538462
FRP,GP,native90,0.75,1,0.8367346938775511,
FRP,GP,native90,0.75,1,,0.5076923076923077
FRP,QuantGBM,native90,0.75,1,0.7551020408163265,
FRP,QuantGBM,native90,0.75,1,,0.3076923076923077
FRP,HistGB,split,0.8,0,0.9230769230769231,0.660377358490566
FRP,HistGB,knn-norm,0.8,0,0.9423076923076923,0.7358490566037735
FRP,RF,split,0.8,0,0.9423076923076923,0.8113207547169812
FRP,RF,knn-norm,0.8,0,0.9230769230769231,0.6037735849056604
FRP,Linear,split,0.8,0,0.8846153846153846,0.6415094339622641
FRP,Linear,knn-norm,0.8,0,0.8846153846153846,0.3584905660377358
FRP,GP,native90,0.8,0,0.8269230769230769,
FRP,GP,native90,0.8,0,,0.5660377358490566
FRP,QuantGBM,native90,0.8,0,0.5961538461538461,
FRP,QuantGBM,native90,0.8,0,,0.5471698113207547
FRP,HistGB,split,0.8,1,0.8461538461538461,0.4339622641509434
FRP,HistGB,knn-norm,0.8,1,0.8846153846153846,0.4716981132075472
FRP,RF,split,0.8,1,0.8461538461538461,0.5094339622641509
FRP,RF,knn-norm,0.8,1,0.8846153846153846,0.49056603773584906
FRP,Linear,split,0.8,1,0.8461538461538461,0.22641509433962265
FRP,Linear,knn-norm,0.8,1,0.8461538461538461,0.24528301886792453
FRP,GP,native90,0.8,1,0.9423076923076923,
FRP,GP,native90,0.8,1,,0.7358490566037735
FRP,QuantGBM,native90,0.8,1,0.7115384615384616,
FRP,QuantGBM,native90,0.8,1,,0.4528301886792453
STEEL,HistGB,split,0.7,0,0.8636363636363636,0.40064102564102566
STEEL,HistGB,knn-norm,0.7,0,0.8787878787878788,0.5833333333333334
STEEL,RF,split,0.7,0,0.8939393939393939,0.3974358974358974
STEEL,RF,knn-norm,0.7,0,0.8939393939393939,0.532051282051282
STEEL,Linear,split,0.7,0,0.8863636363636364,0.22435897435897437
STEEL,Linear,knn-norm,0.7,0,0.9393939393939394,0.2532051282051282
STEEL,GP,native90,0.7,0,0.9090909090909091,
STEEL,GP,native90,0.7,0,,0.8974358974358975
STEEL,QuantGBM,native90,0.7,0,0.8787878787878788,
STEEL,QuantGBM,native90,0.7,0,,0.9230769230769231
STEEL,HistGB,split,0.7,1,0.9318181818181818,0.46153846153846156
STEEL,HistGB,knn-norm,0.7,1,0.9090909090909091,0.5480769230769231
STEEL,RF,split,0.7,1,0.9242424242424242,0.4583333333333333
STEEL,RF,knn-norm,0.7,1,0.9393939393939394,0.6089743589743589
STEEL,Linear,split,0.7,1,0.9090909090909091,0.28525641025641024
STEEL,Linear,knn-norm,0.7,1,0.9242424242424242,0.36217948717948717
STEEL,GP,native90,0.7,1,0.9090909090909091,
STEEL,GP,native90,0.7,1,,0.8141025641025641
STEEL,QuantGBM,native90,0.7,1,0.7727272727272727,
STEEL,QuantGBM,native90,0.7,1,,0.657051282051282
STEEL,HistGB,split,0.75,0,0.9426751592356688,0.413953488372093
STEEL,HistGB,knn-norm,0.75,0,0.9554140127388535,0.4883720930232558
STEEL,RF,split,0.75,0,0.910828025477707,0.4
STEEL,RF,knn-norm,0.75,0,0.9490445859872612,0.5209302325581395
STEEL,Linear,split,0.75,0,0.9171974522292994,0.3116279069767442
STEEL,Linear,knn-norm,0.75,0,0.9235668789808917,0.3209302325581395
STEEL,GP,native90,0.75,0,0.9363057324840764,
STEEL,GP,native90,0.75,0,,0.6511627906976745
STEEL,QuantGBM,native90,0.75,0,0.802547770700637,
STEEL,QuantGBM,native90,0.75,0,,0.4790697674418605
STEEL,HistGB,split,0.75,1,0.9299363057324841,0.4883720930232558
STEEL,HistGB,knn-norm,0.75,1,0.9554140127388535,0.5302325581395348
STEEL,RF,split,0.75,1,0.9171974522292994,0.42790697674418604
STEEL,RF,knn-norm,0.75,1,0.9490445859872612,0.5674418604651162
STEEL,Linear,split,0.75,1,0.9044585987261147,0.2372093023255814
STEEL,Linear,knn-norm,0.75,1,0.9299363057324841,0.26976744186046514
STEEL,GP,native90,0.75,1,0.8980891719745223,
STEEL,GP,native90,0.75,1,,0.8604651162790697
STEEL,QuantGBM,native90,0.75,1,0.7707006369426752,
STEEL,QuantGBM,native90,0.75,1,,0.641860465116279
STEEL,HistGB,split,0.8,0,0.9281437125748503,0.313953488372093
STEEL,HistGB,knn-norm,0.8,0,0.9461077844311377,0.38953488372093026
STEEL,RF,split,0.8,0,0.9041916167664671,0.3081395348837209
STEEL,RF,knn-norm,0.8,0,0.9161676646706587,0.3953488372093023
STEEL,Linear,split,0.8,0,0.9221556886227545,0.27325581395348836
STEEL,Linear,knn-norm,0.8,0,0.9520958083832335,0.3081395348837209
STEEL,GP,native90,0.8,0,0.9341317365269461,
STEEL,GP,native90,0.8,0,,0.7732558139534884
STEEL,QuantGBM,native90,0.8,0,0.8143712574850299,
STEEL,QuantGBM,native90,0.8,0,,0.563953488372093
STEEL,HistGB,split,0.8,1,0.8922155688622755,0.3313953488372093
STEEL,HistGB,knn-norm,0.8,1,0.9221556886227545,0.37790697674418605
STEEL,RF,split,0.8,1,0.8862275449101796,0.32558139534883723
STEEL,RF,knn-norm,0.8,1,0.9401197604790419,0.4883720930232558
STEEL,Linear,split,0.8,1,0.8622754491017964,0.13953488372093023
STEEL,Linear,knn-norm,0.8,1,0.9341317365269461,0.19767441860465115
STEEL,GP,native90,0.8,1,0.8682634730538922,
STEEL,GP,native90,0.8,1,,0.6337209302325582
STEEL,QuantGBM,native90,0.8,1,0.8383233532934131,
STEEL,QuantGBM,native90,0.8,1,,0.4127906976744186
